_id,text,created_at,author_name,author_username,lang,event_type,sentiment,is_english,cleaned_text,processed_date,text_neg,text_neu,text_pos,text_compound
6820dd5899891a237c42baf3,Haunting Memories 😭\n#BradfordFire #disaster #40thanniversary \nBBC News - Bradford City fire remembered on 40th anniversary of Valley Parade disaster - BBC News\nhttps://t.co/u6IpvNbFCj,2025-05-11T18:15:42,its only natural,clothesfreeuk,en,natural disaster,negative,true,Haunting Memories 😭 BBC News - Bradford City fire remembered on 40th anniversary of Valley Parade disaster - BBC News,2025-05-11,0.429,0.571,0,-0.9413
6820dd5899891a237c42bafb,@zerohedge The Japanese bond market is warning that something is coming. It could be a natural disaster.,2025-05-11T18:15:42,elreydeldolar oficial 👑,elreydeldolar,en,natural disaster,negative,true,The Japanese bond market is warning that something is coming. It could be a natural disaster.,2025-05-11,0.283,0.609,0.109,-0.6124
6820dd5899891a237c42bb02,Check out Disaster Natural's video! #TikTok https://t.co/WhgBbLBTgh,2025-05-11T18:15:42,DLC TRADE GROUP,franciscordelac,en,natural disaster,negative,true,Check out Disaster Natural's video!,2025-05-11,0.423,0.577,0,-0.6588
6820dd5899891a237c42bb06,"@20kemal1981 @bosunatiklama @20kemal1981 Wealth inequality in Turkish banks is likely significant, with a small group holding most deposits, as seen in general trends where 35 billionaires owned triple the wealth of the poorest 50% in 2023. High inflation (38% in 2025) suggests many have low savings, but",2025-05-11T18:15:42,Grok,grok,en,inflation trends,neutral,true,"Wealth inequality in Turkish banks is likely significant, with a small group holding most deposits, as seen in general trends where 35 billionaires owned triple the wealth of the poorest 50% in 2023. High inflation (38% in 2025) suggests many have low savings, but",2025-05-11,0.074,0.817,0.109,0.2023
6820dd5899891a237c42bb07,"Rising consumer costs are a challenge with tariffs impacting small businesses.  In this video, I explain Tariff Inflation and its effects on your business. Economic Trends Today show why Tariff Impacts on Small Business is crucial. \n\n#MrMunifAli #TariffInflationExplained https://t.co/MYfpCHfPRs",2025-05-11T18:15:42,Mr Munif Ali,mrmunifali1,en,inflation trends,slightly negative,true,"Rising consumer costs are a challenge with tariffs impacting small businesses. In this video, I explain Tariff Inflation and its effects on your business. Economic Trends Today show why Tariff Impacts on Small Business is crucial.",2025-05-11,0,0.967,0.033,0.0772
6820dd5899891a237c42bb0c,"@QuoteChain_AI $BTC down 10%, and CT’s chasing the next altcoin. But in Argentina, farmers are using stablecoins to hedge against inflation. No trends. No hype. Just real-world crypto making a difference.",2025-05-11T18:15:42,ExitPhilosophy,xebec_7x,en,inflation trends,slightly negative,true,"$BTC down 10%, and CT’s chasing the next altcoin. But in Argentina, farmers are using stablecoins to hedge against inflation. No trends. No hype. Just real-world crypto making a difference.",2025-05-11,0.082,0.85,0.068,-0.12
6820dd5899891a237c42bb0d,"@QuoteChain_AI Crypto’s down 12%, and CT’s distracted by the next token. Meanwhile, in Argentina, people use Bitcoin to preserve savings while inflation rages. No trends. Just survival.",2025-05-11T18:15:42,"sazzadsspace (Ø,G) .ink",sazzadsspace0,en,inflation trends,negative,true,"Crypto’s down 12%, and CT’s distracted by the next token. Meanwhile, in Argentina, people use Bitcoin to preserve savings while inflation rages. No trends. Just survival.",2025-05-11,0.243,0.757,0,-0.7717
6820dd5899891a237c42bb10,"@QuoteChain_AI $BTC is down 10%, and CT’s chasing the next altcoin hype. But in Argentina, a farmer’s using crypto to hedge against inflation. No tokens. No trends. Just real utility in the face of a collapsing currency.",2025-05-11T18:15:42,JASA FORMAT SKRIPSI + DAFTAR ISI. LANGSUNG WA,jokitugasz,en,inflation trends,negative,true,"$BTC is down 10%, and CT’s chasing the next altcoin hype. But in Argentina, a farmer’s using crypto to hedge against inflation. No tokens. No trends. Just real utility in the face of a collapsing currency.",2025-05-11,0.134,0.811,0.056,-0.5053
6820dd5899891a237c42bb12,"@QuoteChain_AI Markets are crashing, and CT’s obsessed with NFTs. Meanwhile, in Kenya, farmers use blockchain to receive payments instantly for crops, avoiding inflation and middlemen. No trends. Just empowerment.",2025-05-11T18:15:42,Mosfick.base.eth.ink,_mosfick,en,inflation trends,negative,true,"Markets are crashing, and CT’s obsessed with NFTs. Meanwhile, in Kenya, farmers use blockchain to receive payments instantly for crops, avoiding inflation and middlemen. No trends. Just empowerment.",2025-05-11,0.195,0.805,0,-0.6486
6820dd5899891a237c42bb13,"@TerraOrBust £50 in 1995 had approximately the same spending power as £100 in May 2025, based on UK inflation trends and CPI adjustments",2025-05-11T18:15:42,Polish Housewife,HousewifePolish,en,inflation trends,slightly negative,true,"£50 in 1995 had approximately the same spending power as £100 in May 2025, based on UK inflation trends and CPI adjustments",2025-05-11,0,1,0,0
